> XY_LONLAT
-45.514345 -26.416790
-45.586571 -26.324753
-45.583379 -25.858616
-45.514850 -25.769208
-45.511161 -25.584481
-45.479941 -25.535479
-45.409708 -25.539402
-45.174334 -25.215493
-45.168759 -25.120655
-45.101536 -25.031234
-45.103317 -24.936235
-45.034885 -24.846933
-45.036748 -24.751934
-44.968237 -24.662520
-44.964553 -24.476126
-44.828857 -24.288845
-44.825107 -24.104118
-44.796450 -24.061873
-44.733542 -24.058963
-44.695013 -24.015117
-44.696801 -23.920229
-44.659555 -23.874708
-44.590425 -23.871727
-44.383881 -23.601923
-44.321000 -23.602342
-43.911593 -23.049022
-43.841260 -23.046042
-43.780218 -22.956679
-43.711189 -22.955355
-43.575478 -22.768049
-43.502779 -22.773635
-43.374514 -22.586387
-43.169839 -22.591052
-43.101434 -22.498286
-43.032422 -22.498732
-42.963906 -22.400856
-42.760574 -22.412275
-42.692052 -22.312729
-42.497326 -22.317420
-42.428841 -22.222870
-41.887573 -22.222967
-41.820423 -22.133513
-40.403688 -22.149045
>
-59.505353 -37.876490
-59.467434 -37.920934
-59.401952 -37.926517
-59.334395 -37.835574
-59.271379 -37.836135
-59.163909 -37.701549
-59.160540 -37.604924
-59.265605 -37.459897
-59.499610 -37.786663
-59.505353 -37.876490
>
-53.224253 -37.466749
-53.186336 -37.516267
-53.120867 -37.513345
-53.017170 -37.378521
-53.017631 -37.283641
-53.051903 -37.234152
-53.121082 -37.235379
-53.218596 -37.376917
-53.224253 -37.466749
>
-58.956597 -37.606730
-58.858982 -37.743243
-58.725530 -37.747753
-58.689186 -37.695523
-58.692530 -37.514071
-58.723082 -37.469808
-58.857742 -37.465176
-58.956597 -37.606730
>
-49.158679 -35.368796
-49.120743 -35.418180
-48.986039 -35.422616
-48.957233 -35.370279
-48.951634 -35.280443
-48.989570 -35.231059
-49.055071 -35.230578
-49.158679 -35.368796
>
-40.403688 -22.149045
-40.073250 -22.147600
-40.009630 -22.237859
-39.674259 -22.236534
-39.604674 -22.153849
-39.534352 -22.150824
-39.503253 -22.098460
-39.505164 -22.012017
-39.466672 -21.966474
-39.395702 -22.058437
-39.266374 -21.874450
-38.790444 -21.877243
-38.723192 -21.970843
-38.456822 -21.965611
-38.384647 -22.061015
-38.252711 -22.065107
-38.187916 -22.151912
-38.053474 -22.156126
-37.955722 -22.302441
-37.953720 -22.390662
-37.817888 -22.577853
-37.828464 -23.130380
-37.723209 -23.268291
-37.588744 -23.272496
-37.523967 -23.366071
-37.384532 -23.363523
-37.216779 -23.138940
-37.220638 -22.947391
-37.077838 -22.759993
-37.079762 -22.670217
-36.912008 -22.440517
-36.843034 -22.447676
-36.774601 -22.348069
-36.640235 -22.352254
-36.573126 -22.257637
-36.305572 -22.259103
-36.237285 -22.169599
-36.033813 -22.170704
-35.965495 -22.074533
-35.902619 -22.073095
-35.728727 -21.848619
-35.723279 -21.751996
-35.662448 -21.664224
-35.664354 -21.567561
-35.589923 -21.474751
-35.591858 -21.383198
-35.286351 -20.971109
-35.216125 -20.968148
-35.116762 -20.833026
-35.115049 -20.738160
-35.014471 -20.601377
-34.945397 -20.601740
-34.813779 -20.414236
-34.675734 -20.418290
-34.604984 -20.328894
-34.542124 -20.327443
-34.475058 -20.231250
-34.341944 -20.235271
-34.272386 -20.140755
-34.202114 -20.142783
-34.135097 -20.055029
-34.001953 -20.052267
-33.932490 -19.959413
-33.869644 -19.959734
-33.795167 -19.865127
-33.732338 -19.868889
-33.664110 -19.779359
-33.529760 -19.776705
-33.461455 -19.687174
-32.115476 -19.693810
-32.050625 -19.780554
-31.911300 -19.784668
-31.845193 -19.879860
-31.712062 -19.878829
-31.645936 -19.970686
-31.575722 -19.967576
-31.512040 -20.064531
-31.441825 -20.061419
-31.310796 -20.250231
-31.247946 -20.250527
-31.016477 -20.575451
-31.011999 -20.672013
-30.743697 -21.039426
-30.738826 -21.314074
-30.813202 -21.410383
-30.811634 -21.595140
-30.847559 -21.640745
-30.910422 -21.640453
-31.084177 -21.871942
-31.083304 -21.961821
-31.221069 -22.149259
-31.219059 -22.237478
-31.186005 -22.288514
-30.983742 -22.289459
-30.885713 -22.427228
-30.887019 -22.708624
-30.846574 -22.752805
-30.783685 -22.749764
-30.718745 -22.844939
-30.613274 -22.703113
-30.618152 -22.428465
-30.511484 -22.288198
-30.174837 -22.289733
-30.144272 -22.339087
-30.142174 -22.428861
-30.109103 -22.478225
-29.498727 -22.477515
-29.436671 -22.388026
-29.304695 -22.385165
-29.198077 -22.249987
-29.200166 -22.155103
-29.062473 -21.970956
-29.064504 -21.881072
-28.960376 -21.739103
-28.825937 -21.743131
-28.790025 -21.697516
-28.791627 -21.507648
-29.028181 -21.186224
-29.160103 -21.182203
-29.228329 -21.281889
-29.293663 -21.274825
-29.360636 -21.364405
-29.562812 -21.368620
-29.668279 -21.229171
-29.669067 -21.134182
-29.563674 -20.999005
-29.500818 -20.999284
-29.462370 -20.946906
-29.464396 -20.857133
-29.261050 -20.583405
-29.254496 -20.213823
-29.326790 -20.120296
-29.323552 -19.935561
-29.291281 -19.889932
-29.222215 -19.890236
-29.183798 -19.842967
-29.186718 -19.661537
-29.220978 -19.608839
-30.025825 -19.605254
-30.098182 -19.511718
-30.162236 -19.511428
-30.332507 -19.280021
-30.334601 -19.190248
-30.398225 -19.096638
-30.359813 -19.051042
-30.296975 -19.051329
-30.130743 -18.818230
-30.120060 -18.635195
-30.059204 -18.537151
-30.061317 -18.450599
-29.993137 -18.357699
-29.988995 -18.262843
-29.918330 -18.173285
-29.920406 -18.078290
-29.853459 -17.988827
-29.848106 -17.893865
-29.888528 -17.849579
-29.957573 -17.849268
-30.056706 -17.984467
-30.054720 -18.081128
-30.158866 -18.216303
-30.224134 -18.219340
-30.295165 -18.122364
-30.428269 -18.125200
-30.494386 -18.031689
-30.564644 -18.031367
-30.591551 -17.982028
-30.593987 -17.704058
-30.558035 -17.665229
-30.087316 -17.663932
-29.913777 -17.430750
-29.916668 -17.247653
-29.950941 -17.201728
-30.019883 -17.198084
-30.117844 -17.058662
-30.115317 -16.500867
-30.180242 -16.414141
-30.181855 -15.951425
-30.114909 -15.858409
-30.107021 -15.204098
-30.043763 -15.121396
-30.039694 -15.024762
-29.971461 -14.930084
-29.976843 -14.745310
-29.907426 -14.655747
-29.902098 -14.566006
-29.835163 -14.471321
-29.834729 -14.374671
-29.773954 -14.285179
-29.763280 -14.100365
-29.635647 -13.912853
-29.630324 -13.823001
-29.560898 -13.728324
-29.563788 -13.543561
-29.496861 -13.447206
-29.491547 -13.359132
-29.430786 -13.269525
-29.432860 -13.172975
-29.362263 -13.085078
-29.361417 -12.893555
-29.223916 -12.711077
-29.225999 -12.616082
-29.157906 -12.526617
-29.159910 -12.431622
-29.090608 -12.342050
-29.085294 -12.252309
-28.956424 -12.064678
-28.952299 -11.969710
-28.579527 -11.461066
-28.510578 -11.468139
-28.478434 -11.422506
-28.480440 -11.325956
-28.442099 -11.283683
-28.379320 -11.280618
-28.274079 -11.138644
-28.276117 -11.048760
-28.239070 -11.006590
-28.175003 -11.003418
-28.139159 -10.959466
-28.139967 -10.864587
-28.108958 -10.818948
-28.038878 -10.824354
-27.766499 -10.449110
-27.701242 -10.449383
-27.636814 -10.358109
-27.564217 -10.358411
-27.501089 -10.268908
-27.369354 -10.266008
-27.295165 -10.173105
-27.098204 -10.177245
-27.030144 -10.082647
-26.691681 -10.080572
-26.626808 -10.175819
-26.495102 -10.179678
-26.424061 -10.266393
-26.358914 -10.273540
-26.287870 -10.360253
-26.225053 -10.365611
-26.152797 -10.452328
-26.088856 -10.459356
-26.016516 -10.546071
-25.687912 -10.554127
-25.619847 -10.454405
-25.415537 -10.458523
-25.348727 -10.369014
-25.144407 -10.369791
-25.079490 -10.459801
-24.679487 -10.464743
-24.573129 -10.322714
-24.575223 -10.234609
-24.536894 -10.187202
-24.474140 -10.187434
-24.367790 -10.045513
-24.368866 -9.679341
-24.433760 -9.582451
-24.438013 -9.401018
-24.501619 -9.305909
-24.500593 -9.027843
-24.572923 -8.937700
-24.567653 -8.842845
-24.705990 -8.655804
-24.702803 -8.471066
-24.800746 -8.331721
-24.939779 -8.334533
-25.037702 -8.191853
-24.968494 -8.100572
-24.971434 -7.917477
-25.106106 -7.728774
-25.105747 -7.633790
-25.169359 -7.547117
-25.170431 -7.170836
-25.235328 -7.084158
-25.239517 -6.892504
-25.201210 -6.846878
-25.068354 -6.849159
-24.970439 -6.988507
-24.968277 -7.078280
-24.897276 -7.171866
-24.905742 -7.451459
-24.833526 -7.545049
-24.831382 -7.639932
-24.765290 -7.733387
-24.769334 -7.823248
-24.633416 -8.005171
-24.630418 -8.196709
-24.565608 -8.290158
-24.568711 -8.475007
-24.503898 -8.568455
-24.499555 -8.746445
-24.435947 -8.839887
-24.440007 -8.934858
-24.368990 -9.031771
-24.366807 -9.118211
-24.235876 -9.306884
-24.238970 -9.491623
-24.166716 -9.583428
-24.172987 -9.954683
-24.104357 -10.046474
-24.099787 -10.143032
-24.034951 -10.236586
-24.038015 -10.414548
-24.004959 -10.463771
-23.401830 -10.465924
-23.333838 -10.376399
-23.264864 -10.374864
-23.194454 -10.285346
-23.125488 -10.285586
-22.958509 -10.050534
-22.960681 -9.955541
-22.922384 -9.913347
-22.859539 -9.910119
-22.828657 -9.866121
-22.823428 -9.776375
-22.692284 -9.588630
-22.688330 -9.493658
-22.249429 -8.896789
-22.186676 -8.893555
-22.049466 -8.714373
-21.986720 -8.712914
-21.849496 -8.526840
-21.779333 -8.525404
-21.748465 -8.481401
-21.743251 -8.391543
-21.676495 -8.296886
-21.679520 -8.112126
-21.809387 -7.928618
-21.810581 -7.555670
-21.673484 -7.374702
-21.674378 -7.278047
-21.234504 -6.681114
-21.101634 -6.678094
-21.032421 -6.588549
-20.962278 -6.586993
-20.901774 -6.497420
-20.767618 -6.494397
